,team_1,team_2,team_1_rating,team_2_rating,capacity,stadium,month,derby,current_season,year,city,temprature,precipitation,attendance
14,Bolton Wanderers,West Bromwich Albion,18.0,10.0,28723.0,University of Bolton Stadium,may,0.0,2011/12,2011,Bolton,12.0,21.2,25662.0
15,Fulham,Sunderland,9.0,11.0,25700.0,Craven Cottage,may,0.0,2011/12,2011,London,14.0,52.1,25683.0
16,Queens Park Rangers,Stoke City,17.0,14.0,18439.0,Kiyan Prince Foundation Stadium,may,0.0,2011/12,2011,London,14.0,52.1,17319.0
17,Wolverhampton Wanderers,Everton,20.0,7.0,32050.0,Molineux Stadium,may,0.0,2011/12,2011,Wolverhampton,12.0,38.6,25466.0
18,Manchester United,Swansea City,2.0,12.0,75643.0,Old Trafford,may,0.0,2011/12,2011,Manchester,12.0,21.2,75496.0
19,Arsenal,Norwich City,3.0,13.0,60704.0,Emirates Stadium,may,0.0,2011/12,2011,London,14.0,52.1,60092.0
20,Chelsea,Newcastle United,6.0,5.0,40834.0,Stamford Bridge,may,0.0,2011/12,2011,London,14.0,52.1,41559.0
21,Bolton Wanderers,Tottenham Hotspur,18.0,4.0,28723.0,University of Bolton Stadium,may,0.0,2011/12,2011,Bolton,12.0,21.2,22349.0
22,Liverpool,Fulham,8.0,9.0,54074.0,Anfield,may,0.0,2011/12,2011,Liverpool,12.0,53.6,40106.0
23,Stoke City,Everton,13.0,7.0,30089.0,bet365 Stadium,may,0.0,2011/12,2011,Stoke,12.0,21.2,26500.0
24,Manchester City,Manchester United,1.0,2.0,53400.0,Etihad Stadium,apr,1.0,2011/12,2011,Manchester,9.0,27.0,47259.0
25,Chelsea,Queens Park Rangers,6.0,17.0,40834.0,Stamford Bridge,apr,1.0,2011/12,2011,London,11.0,30.6,41675.0
26,Tottenham Hotspur,Blackburn Rovers,4.0,19.0,36284.0,White Hart Lane,apr,0.0,2011/12,2011,London,11.0,30.6,35798.0
27,Everton,Fulham,7.0,9.0,39414.0,Goodison Park,apr,0.0,2011/12,2011,Liverpool,10.0,36.7,31885.0
