,team_1,team_2,team_1_rating,team_2_rating,capacity,month,derby,year,city,attendance,occuper
0,1,15,5,20,38419,5,False,1995,16,38104,99
1,2,14,11,7,40834,5,False,1995,16,28436,69
2,3,11,16,13,23489,5,False,1995,28,22769,96
3,4,13,6,4,39414,5,False,1995,31,40127,101
4,5,16,18,3,35150,5,False,1995,26,31436,89
5,6,12,12,1,33746,5,False,1995,21,29921,88
6,7,19,2,8,52305,5,False,1995,18,36589,69
7,8,17,9,19,30602,5,False,1995,20,22910,74
8,9,20,17,14,15200,5,False,1995,4,15172,99
9,10,18,10,15,35345,5,False,1995,16,23790,67
10,11,19,13,6,37792,5,False,1995,22,30061,79
11,8,7,9,2,30602,5,False,1995,20,28280,92
12,1,16,5,3,38419,5,False,1995,16,38323,99
13,11,7,13,2,37792,4,False,1995,22,38862,102
14,12,8,1,9,75643,4,False,1995,26,53926,71
15,13,5,4,18,42749,4,False,1995,13,39336,92
16,14,1,7,5,31367,4,False,1995,12,29834,95
17,15,9,20,17,22616,4,False,1995,25,18795,83
18,16,6,3,12,54074,4,False,1995,31,40782,75
19,17,10,19,11,18439,4,True,1995,16,18828,102
20,18,4,15,6,39812,4,False,1995,17,32724,82
21,19,2,8,10,36284,4,True,1995,16,32918,90
22,20,3,14,16,25486,4,False,1995,16,15540,60
23,13,10,4,10,42749,4,False,1995,13,26768,62
24,14,20,6,14,31367,4,False,1995,12,24174,77
25,7,9,2,16,52305,4,False,1995,18,36554,69
26,8,3,9,17,30602,4,False,1995,20,24629,80
27,18,2,15,11,39812,4,False,1995,17,25094,63
28,12,11,1,13,75643,4,False,1995,26,48382,63
29,4,16,8,3,39414,4,True,1995,31,40120,101
30,1,19,5,7,38419,4,True,1995,16,38273,99
31,7,13,2,4,52305,4,False,1995,18,36510,69
32,2,11,11,13,40834,4,False,1995,16,22131,54
33,3,17,17,19,23489,4,False,1995,28,22910,97
34,5,18,18,15,35150,4,False,1995,26,30898,87
35,6,20,12,14,33746,4,False,1995,21,29192,86
36,8,14,9,6,30602,4,False,1995,20,25273,82
37,9,12,16,1,15200,4,False,1995,4,15262,100
38,10,15,10,20,35345,4,False,1995,16,23086,65
39,14,7,9,2,31367,4,False,1995,12,30717,97
40,13,9,4,16,42749,4,False,1995,13,34059,79
41,15,2,20,11,22616,4,False,1995,25,18021,79
42,11,8,13,8,37792,4,False,1995,22,29220,77
43,16,10,3,10,54074,4,False,1995,31,40326,74
44,12,3,1,19,75643,4,False,1995,26,50332,66
45,17,4,18,7,18439,4,False,1995,16,18349,99
46,18,1,14,5,39812,4,False,1995,17,24349,61
47,19,6,6,12,36284,4,False,1995,16,32036,88
48,20,5,15,17,25486,4,False,1995,16,11844,46
49,1,11,5,12,38419,4,False,1995,16,37619,97
50,2,13,11,4,40834,4,False,1995,16,23530,57
51,3,16,18,3,23489,4,False,1995,28,23137,98
52,4,15,6,20,39414,4,False,1995,31,37974,96
53,5,12,17,1,35150,4,True,1995,26,29688,84
54,7,17,2,19,52305,4,False,1995,18,36583,69
55,8,19,8,7,30602,4,False,1995,20,27053,88
56,9,14,16,9,15200,4,False,1995,4,14793,97
57,10,20,10,15,35345,4,True,1995,16,20402,57
58,6,18,13,14,33746,4,False,1995,21,29751,88
59,11,9,12,17,37792,4,False,1995,22,26077,69
60,16,7,3,2,54074,4,False,1995,31,40702,75
61,14,4,8,7,31367,3,False,1995,12,29468,93
62,15,5,20,16,22616,3,False,1995,25,21050,93
63,11,6,12,13,37792,3,False,1995,22,31778,84
64,17,9,18,17,18439,3,False,1995,16,17615,95
65,19,3,6,19,36284,3,False,1995,16,26808,73
66,20,8,15,9,25486,3,False,1995,16,9807,38
67,9,3,17,18,15200,3,False,1995,4,14461,95
68,12,19,1,6,75643,3,False,1995,26,50157,66
69,1,7,5,2,38419,3,False,1995,16,38271,99
70,15,18,19,14,22616,3,False,1995,25,18368,81
71,2,17,10,20,40834,3,True,1995,16,25590,62
72,4,20,7,15,39414,3,False,1995,31,31382,79
73,8,16,9,3,30602,3,False,1995,20,29058,94
74,10,5,11,16,35345,3,False,1995,16,24017,67
75,9,18,18,14,15200,3,False,1995,4,13216,86
76,15,19,20,6,22616,3,False,1995,25,17829,78
77,12,1,2,5,75643,3,False,1995,26,50028,66
78,13,6,4,13,42749,3,False,1995,13,23933,55
79,7,10,1,11,52305,3,False,1995,18,36331,69
80,11,4,12,7,37792,3,False,1995,22,29425,77
81,3,15,16,20,23489,3,False,1995,28,17226,73
82,16,2,3,9,54074,3,False,1995,31,40820,75
83,5,9,15,18,35150,3,False,1995,26,29550,84
84,6,8,13,10,33746,3,False,1995,21,29392,87
85,17,12,19,2,18439,3,False,1995,16,18817,102
86,18,13,14,4,39812,3,False,1995,17,22964,57
87,19,14,6,8,36284,3,False,1995,16,32387,89
88,20,1,17,5,25486,3,True,1995,16,18335,71
89,14,11,8,12,31367,3,False,1995,12,23358,74
90,16,20,3,15,54074,3,False,1995,31,34063,62
91,2,5,9,17,40834,3,False,1995,16,17078,41
92,13,17,4,19,42749,3,False,1995,13,28221,66
93,4,3,7,15,39414,3,False,1995,31,34517,87
94,10,6,11,13,35345,3,False,1995,16,23850,67
95,13,18,4,14,42749,3,False,1995,13,27893,65
96,17,11,19,12,18439,3,False,1995,16,13991,75
97,1,5,5,17,38419,3,False,1995,16,34519,89
98,7,12,1,2,52305,3,False,1995,18,36584,69
99,16,13,3,4,54074,3,False,1995,31,39508,73
100,3,10,16,11,23489,3,False,1995,28,17459,74
101,11,15,12,20,37792,3,False,1995,22,30106,79
102,5,14,17,10,35150,3,False,1995,26,29078,82
103,6,4,13,7,33746,3,False,1995,21,29807,88
104,17,1,19,5,18439,3,True,1995,16,17970,97
105,18,8,14,9,39812,3,False,1995,17,21930,55
106,19,9,6,18,36284,3,False,1995,16,26320,72
107,20,2,15,8,25486,3,True,1995,16,17048,66
108,13,14,4,9,42749,2,False,1995,13,28008,65
109,15,12,20,2,22616,2,False,1995,25,21381,94
110,14,16,9,3,31367,2,False,1995,12,30895,98
111,3,6,17,13,23489,2,False,1995,28,18810,80
112,4,8,7,10,39414,2,False,1995,31,33163,84
113,5,7,18,1,35150,2,False,1995,26,31115,88
114,9,2,15,8,15200,2,False,1995,4,15226,100
115,19,18,5,14,36284,2,False,1995,16,32047,88
116,10,1,11,6,35345,2,True,1995,16,24217,68
117,20,13,16,4,25486,2,False,1995,16,12193,47
118,10,7,11,1,35345,2,False,1995,16,23843,67
119,12,4,2,8,75643,2,False,1995,26,42459,56
120,2,10,10,11,40834,2,True,1995,16,25252,61
121,6,15,13,20,33746,2,False,1995,21,29354,86
122,18,17,14,19,39812,2,False,1995,17,22442,56
123,19,10,5,13,36284,2,True,1995,16,29781,82
124,17,16,19,3,18439,2,False,1995,16,18405,99
125,15,13,20,4,22616,2,False,1995,25,18099,80
126,3,2,17,10,23489,2,False,1995,28,20639,87
127,4,5,8,18,39414,2,False,1995,31,37354,94
128,12,14,2,6,75643,2,False,1995,26,42681,56
129,6,7,12,1,33746,2,False,1995,21,30011,88
130,8,1,9,7,30602,2,False,1995,20,27222,88
131,18,20,14,16,39812,2,False,1995,17,19085,47
132,2,6,8,12,40834,2,False,1995,16,21060,51
133,1,3,9,18,38419,2,False,1995,16,35623,92
134,13,11,4,11,42749,2,False,1995,13,35982,84
135,14,15,6,20,31367,2,False,1995,12,30419,96
136,16,19,3,5,54074,2,False,1995,31,40628,75
137,5,17,17,19,35150,2,False,1995,26,27509,78
138,7,18,1,14,52305,2,False,1995,18,36567,69
139,9,4,15,10,15200,2,False,1995,4,15136,99
140,10,8,13,7,35345,2,False,1995,16,21257,60
141,20,12,16,2,25486,2,False,1995,16,25380,99
142,9,5,15,17,15200,1,False,1995,4,15172,99
143,13,16,6,2,42749,1,False,1995,13,39332,92
144,8,11,5,11,30602,1,False,1995,20,24465,79
145,10,3,14,18,35345,1,False,1995,16,18884,53
146,10,12,16,2,35345,1,False,1995,16,24197,68
147,13,19,5,4,42749,1,False,1995,13,35666,83
148,1,4,7,9,38419,1,False,1995,16,38275,99
149,14,18,6,13,31367,1,False,1995,12,24732,78
150,2,8,10,8,40834,1,False,1995,16,24482,59
151,16,11,3,11,54074,1,False,1995,31,40254,74
152,5,3,18,17,35150,1,False,1995,26,25710,73
153,7,15,1,20,52305,1,False,1995,18,36543,69
154,9,6,15,12,15200,1,False,1995,4,15151,99
155,20,17,14,19,25486,1,True,1995,16,9123,35
156,3,7,17,1,23489,1,False,1995,28,20547,87
157,15,20,20,15,22616,1,False,1995,25,16216,71
158,4,2,10,12,39414,1,False,1995,31,34968,88
159,11,10,9,14,37792,1,False,1995,22,30658,81
160,12,13,2,7,75643,1,False,1995,26,42667,56
161,6,1,11,5,33746,1,False,1995,21,29359,86
162,8,9,6,16,30602,1,False,1995,20,23321,76
163,17,14,19,8,18439,1,False,1995,16,13957,75
164,18,16,13,4,39812,1,False,1995,17,32747,82
165,19,5,3,18,36284,1,False,1995,16,31436,86
166,7,1,1,6,52305,1,False,1995,18,36530,69
167,17,2,19,12,18439,1,True,1995,16,14904,80
168,3,9,17,16,23489,1,False,1995,28,16818,71
169,11,14,11,10,37792,1,False,1995,22,31285,82
170,16,8,3,7,54074,1,False,1995,31,39206,72
171,5,10,18,14,35150,1,False,1995,26,26024,74
172,18,15,13,20,39812,1,False,1995,17,24872,62
173,20,4,15,9,25486,1,False,1995,16,11121,43
174,6,13,8,5,33746,1,False,1995,21,28535,84
175,19,12,4,2,36284,1,False,1995,16,32852,90
176,1,20,5,15,38419,12,True,1995,16,37640,97
177,14,19,9,4,31367,12,False,1995,12,30004,95
178,15,3,20,17,22616,12,False,1995,25,16678,73
179,2,16,12,3,40834,12,False,1995,16,31137,76
180,4,11,11,10,39414,12,False,1995,31,40009,101
181,12,17,2,18,75643,12,False,1995,26,41890,55
182,8,6,6,7,30602,12,False,1995,20,27027,88
183,12,7,2,1,75643,12,False,1995,26,42024,55
184,15,11,20,8,22616,12,False,1995,25,18414,81
185,1,17,5,17,38419,12,True,1995,16,38259,99
186,2,20,11,16,40834,12,True,1995,16,21906,53
187,9,19,15,3,15200,12,False,1995,4,15238,100
188,4,6,12,6,39414,12,False,1995,31,40019,101
189,8,18,9,14,30602,12,False,1995,20,27810,90
190,14,5,10,18,31367,12,False,1995,12,28915,92
191,11,12,9,2,37792,12,False,1995,22,39801,105
192,3,4,19,12,23489,12,False,1995,28,16639,70
193,16,1,3,7,54074,12,False,1995,31,39806,73
194,5,2,17,10,35150,12,False,1995,26,28668,81
195,6,10,5,13,33746,12,False,1995,21,28640,84
196,7,8,1,8,52305,12,False,1995,18,36531,69
197,17,13,16,6,18439,12,False,1995,16,14778,80
198,18,9,14,15,39812,12,False,1995,17,25115,63
199,19,15,4,20,36284,12,False,1995,16,30702,84
200,20,14,18,11,25486,12,False,1995,16,7105,27
201,5,8,16,8,35150,12,False,1995,26,25660,73
202,16,12,5,2,54074,12,False,1995,31,40546,74
203,1,2,6,10,38419,12,True,1995,16,38295,99
204,13,3,4,19,42749,12,False,1995,13,28486,66
205,14,6,11,7,31367,12,False,1995,12,27996,89
206,7,4,1,12,52305,12,False,1995,18,36557,69
207,17,15,17,20,18439,12,False,1995,16,11456,62
208,18,11,14,9,39812,12,False,1995,17,24573,61
209,10,9,13,15,35345,12,False,1995,16,18501,52
210,20,19,18,3,25486,12,True,1995,16,16193,63
211,4,10,11,13,39414,12,False,1995,31,31778,80
212,8,13,8,6,30602,12,False,1995,20,25790,84
213,15,16,20,7,22616,12,False,1995,25,21042,93
214,2,7,10,1,40834,12,False,1995,16,31098,76
215,3,14,19,12,23489,12,False,1995,28,13376,56
216,11,20,9,17,37792,12,False,1995,22,27984,74
217,12,18,2,14,75643,12,False,1995,26,41849,55
218,6,5,4,16,33746,12,False,1995,21,29469,87
219,9,1,15,3,15200,12,False,1995,4,15238,100
220,19,17,5,18,36284,12,True,1995,16,28851,79
221,18,3,14,20,39812,12,False,1995,17,16229,40
222,20,7,17,1,25486,12,False,1995,16,18002,70
223,13,1,4,3,42749,12,False,1995,13,37770,88
224,14,10,10,13,31367,12,False,1995,12,26638,84
225,15,8,19,7,22616,12,False,1995,25,17342,76
226,11,5,9,16,37792,12,False,1995,22,33249,87
227,16,9,8,15,54074,12,False,1995,31,38007,70
228,12,2,2,11,75643,12,False,1995,26,42019,55
229,17,6,18,6,18439,12,False,1995,16,17546,95
230,19,4,5,12,36284,12,False,1995,16,32894,90
231,8,12,7,2,30602,11,False,1995,20,29263,95
232,1,14,3,13,38419,11,False,1995,16,37695,98
233,2,19,11,5,40834,11,True,1995,16,31059,76
234,3,20,19,16,23489,11,False,1995,28,12523,53
235,4,18,12,15,39414,11,False,1995,31,35898,91
236,5,13,17,4,35150,11,False,1995,26,28027,79
237,6,16,6,8,33746,11,False,1995,21,29390,87
238,7,11,1,9,52305,11,False,1995,18,36572,69
239,9,15,14,20,15200,11,False,1995,4,14404,94
240,10,17,10,18,35345,11,True,1995,16,21504,60
241,2,15,10,19,40834,11,False,1995,16,17495,42
242,3,12,20,2,23489,11,False,1995,28,23400,99
243,4,17,11,16,39414,11,False,1995,31,30009,76
244,5,20,18,17,35150,11,False,1995,26,23617,67
245,10,16,13,6,35345,11,False,1995,16,24324,68
246,1,18,3,14,38419,11,False,1995,16,34556,89
247,6,19,9,5,33746,11,False,1995,21,29487,87
248,9,13,15,4,15200,11,False,1995,4,13582,89
249,17,3,16,20,18439,11,False,1995,16,11189,60
250,13,7,4,1,42749,11,False,1995,13,39167,91
251,14,8,12,8,31367,11,False,1995,12,27660,88
252,15,10,19,13,22616,11,False,1995,25,19047,84
253,11,2,7,10,37792,11,False,1995,22,36209,95
254,16,4,6,11,54074,11,True,1995,31,40818,75
255,12,9,2,15,75643,11,False,1995,26,39301,51
256,18,5,14,18,39812,11,False,1995,17,24422,61
257,19,1,5,3,36284,11,True,1995,16,32894,90
258,20,6,17,9,25486,11,False,1995,16,13780,54
259,7,14,1,11,52305,11,False,1995,18,36473,69
260,8,20,3,17,30602,11,False,1995,20,20810,68
261,4,14,13,11,39414,11,False,1995,31,30097,76
262,1,12,4,2,38419,11,False,1995,16,38317,99
263,2,18,10,14,40834,11,False,1995,16,23216,56
264,3,19,19,9,23489,11,False,1995,28,17545,74
265,5,15,20,18,35150,11,False,1995,26,28397,80
266,6,11,7,8,33746,11,False,1995,21,29467,87
267,7,16,1,5,52305,11,False,1995,18,36547,69
268,9,17,15,16,15200,11,False,1995,4,15137,99
269,10,13,12,6,35345,11,False,1995,16,23637,66
270,15,1,18,4,22616,10,False,1995,25,18682,82
271,19,7,9,1,36284,10,False,1995,16,32279,88
272,13,4,7,16,42749,10,False,1995,13,32792,76
273,14,2,11,10,31367,10,False,1995,12,27733,88
274,11,3,8,19,37792,10,False,1995,22,30161,79
275,16,5,3,20,54074,10,False,1995,31,39267,72
276,12,6,2,6,75643,10,False,1995,26,36580,48
277,17,8,14,5,18439,10,False,1995,16,17549,95
278,18,10,13,12,39812,10,False,1995,17,23917,60
279,20,9,15,17,25486,10,False,1995,16,7982,31
280,4,19,15,9,39414,10,False,1995,31,33629,85
281,9,16,18,5,15200,10,False,1995,4,15245,100
282,1,13,3,7,38419,10,False,1995,16,38271,99
283,2,12,10,2,40834,10,False,1995,16,31019,75
284,3,18,17,12,23489,10,False,1995,28,13998,59
285,5,11,20,8,35150,10,False,1995,26,26390,75
286,6,17,4,16,33746,10,False,1995,21,29293,86
287,7,20,1,14,52305,10,False,1995,18,36434,69
288,8,15,6,19,30602,10,False,1995,20,25426,83
289,10,14,13,11,35345,10,False,1995,16,21776,61
290,20,10,12,13,25486,10,True,1995,16,9411,36
291,18,6,16,4,39812,10,False,1995,17,21177,53
292,13,2,7,9,42749,10,False,1995,13,34922,81
293,14,9,11,18,31367,10,False,1995,12,26780,85
294,15,4,19,15,22616,10,False,1995,25,20427,90
295,11,1,8,3,37792,10,False,1995,22,38552,102
296,16,3,5,17,54074,10,False,1995,31,39079,72
297,12,5,2,20,75643,10,True,1995,26,35707,47
298,17,7,14,1,18439,10,False,1995,16,18254,98
299,19,8,10,6,36284,10,False,1995,16,32876,90
300,9,10,17,16,15200,10,False,1995,4,13568,89
301,4,7,15,1,39414,10,False,1995,31,33080,83
302,12,16,3,4,75643,10,False,1995,26,34934,46
303,15,17,19,12,22616,9,False,1995,25,17362,76
304,2,1,10,6,40834,9,True,1995,16,31048,76
305,3,13,18,2,23489,9,False,1995,28,20987,89
306,11,18,5,13,37792,9,False,1995,22,34076,90
307,6,14,7,14,33746,9,False,1995,21,29462,87
308,8,5,8,20,30602,9,False,1995,20,25620,83
309,19,20,9,11,36284,9,True,1995,16,25321,69
310,17,19,15,9,18439,9,True,1995,16,15659,84
311,7,2,1,11,52305,9,False,1995,18,36225,69
312,1,9,4,18,38419,9,False,1995,16,38136,99
313,13,8,5,8,42749,9,False,1995,13,33972,79
314,14,3,13,16,31367,9,False,1995,12,24382,77
315,16,15,3,19,54074,9,False,1995,31,40104,74
316,5,6,20,7,35150,9,False,1995,26,25865,73
317,18,12,12,2,39812,9,False,1995,17,34101,85
318,10,4,17,14,35345,9,False,1995,16,21085,59
319,20,11,10,6,25486,9,False,1995,16,13307,52
320,8,4,6,12,30602,9,False,1995,20,24786,80
321,1,10,5,19,38419,9,True,1995,16,38065,99
322,13,20,3,7,42749,9,False,1995,13,29928,70
323,2,9,9,16,40834,9,False,1995,16,26237,64
324,11,17,8,15,37792,9,False,1995,22,31504,83
325,16,14,4,17,54074,9,False,1995,31,39502,73
326,12,15,2,18,75643,9,False,1995,26,32812,43
327,6,3,10,14,33746,9,False,1995,21,27882,82
328,7,5,1,20,52305,9,False,1995,18,36501,69
329,18,19,13,11,39812,9,False,1995,17,26565,66
330,6,9,11,14,33746,9,False,1995,21,29181,86
331,10,2,19,12,35345,9,True,1995,16,19228,54
332,5,1,20,6,35150,9,False,1995,26,23994,68
333,14,13,16,5,31367,9,False,1995,12,27084,86
334,15,6,17,11,22616,9,False,1995,25,18376,81
335,3,8,13,8,23489,9,False,1995,28,17219,73
336,4,12,10,2,39414,9,False,1995,31,39496,100
337,17,18,18,9,18439,9,False,1995,16,12459,67
338,9,7,14,1,15200,9,False,1995,4,15237,100
339,19,11,15,4,36284,9,False,1995,16,30034,82
340,20,16,3,7,25486,9,False,1995,16,19530,76
341,9,11,19,2,15200,8,False,1995,4,15212,100
342,13,15,5,15,42749,8,False,1995,13,31770,74
343,2,3,14,10,40834,8,False,1995,16,24398,59
344,16,17,3,16,54074,8,False,1995,31,37548,69
345,5,4,20,7,35150,8,False,1995,26,28432,80
346,7,6,1,11,52305,8,False,1995,18,36483,69
347,10,19,17,18,35345,8,True,1995,16,23516,66
348,20,18,6,12,25486,8,False,1995,16,6352,24
349,1,8,8,9,38419,8,False,1995,16,38248,99
350,14,12,13,4,31367,8,False,1995,12,29843,95
351,18,7,12,1,39812,8,False,1995,17,24815,62
352,15,14,15,13,22616,8,False,1995,25,20253,89
353,3,1,10,8,23489,8,False,1995,28,20065,85
354,4,9,7,19,39414,8,False,1995,31,33668,85
355,11,13,2,5,37792,8,False,1995,22,35086,92
356,12,20,4,6,75643,8,False,1995,26,32226,42
357,6,2,11,14,33746,8,False,1995,21,28286,83
358,8,10,9,17,30602,8,False,1995,20,26645,87
359,17,5,16,20,18439,8,False,1995,16,14212,77
360,19,16,18,3,36284,8,False,1995,16,31254,86
361,3,5,11,14,23489,8,False,1995,28,15957,67
362,4,1,16,5,39414,8,False,1995,31,35775,90
363,8,2,6,12,30602,8,False,1995,20,27007,88
364,17,20,20,2,18439,8,True,1995,16,11837,64
365,18,14,8,7,39812,8,False,1995,17,25544,64
366,19,13,15,3,36284,8,False,1995,16,26726,73
367,12,10,10,18,75643,8,False,1995,26,31966,42
368,15,7,19,1,22616,8,False,1995,25,20253,89
369,11,16,4,9,37792,8,False,1995,22,35852,94
370,1,6,5,13,38419,8,False,1995,16,37308,97
371,13,12,3,10,42749,8,False,1995,13,34655,81
372,14,17,7,20,31367,8,False,1995,12,22860,72
373,2,4,12,16,40834,8,False,1995,16,29858,73
374,16,18,9,8,54074,8,False,1995,31,40535,74
375,5,19,14,15,35150,8,False,1995,26,30827,87
376,7,3,1,11,52305,8,False,1995,18,36485,69
377,9,8,17,6,15200,8,False,1995,4,15164,99
378,10,11,18,4,35345,8,False,1995,16,22901,64
379,20,15,2,19,25486,8,False,1995,16,9317,36
380,13,9,5,16,42749,5,False,1996,13,39339,92
381,14,22,13,9,31367,5,False,1996,12,25881,82
382,21,1,12,3,18300,5,False,1996,9,18287,99
383,4,2,15,6,39414,5,False,1996,31,38321,97
384,11,6,11,19,37792,5,False,1996,22,38567,102
385,12,10,1,14,75643,5,False,1996,26,55249,73
386,7,8,2,20,52305,5,False,1996,18,36554,69
387,18,16,7,4,39812,5,False,1996,17,38943,97
388,19,3,10,17,36284,5,False,1996,16,33029,91
389,20,23,8,18,25486,5,False,1996,16,21338,83
390,14,6,13,18,31367,5,False,1996,12,27411,87
391,12,7,1,3,75643,5,False,1996,26,55236,73
392,22,18,12,7,22000,5,False,1996,6,20793,94
393,10,7,14,3,35345,5,False,1996,16,24617,69
394,20,16,8,2,25486,5,False,1996,16,20016,78
395,12,6,1,18,75643,5,False,1996,26,54489,72
396,22,12,16,1,22000,5,False,1996,6,21068,95
397,1,7,3,4,38419,5,False,1996,16,38179,99
398,2,11,6,11,40834,5,False,1996,16,28277,69
399,3,21,18,10,23489,5,False,1996,28,22839,97
400,6,13,19,5,33746,5,False,1996,21,30074,89
401,8,20,20,8,30602,5,False,1996,20,19865,64
402,9,14,14,13,15200,5,False,1996,4,15247,100
403,23,4,17,12,22500,5,False,1996,14,22108,98
404,10,18,15,7,35345,5,False,1996,16,24960,70
405,16,19,2,9,54074,5,False,1996,31,40003,73
406,19,6,9,19,36284,4,False,1996,16,29947,82
407,21,8,11,20,18300,4,False,1996,9,18087,98
408,22,10,14,16,22000,4,False,1996,6,20327,92
409,14,18,13,6,31367,4,False,1996,12,20845,66
410,11,13,10,5,37792,4,False,1996,22,26897,71
411,23,9,18,15,22500,4,False,1996,14,21521,95
412,20,2,8,7,25486,4,True,1996,16,14601,57
413,3,1,17,2,23489,4,False,1996,28,19998,85
414,1,14,2,14,38419,4,False,1996,16,38086,99
415,13,19,5,9,42749,4,False,1996,13,39339,92
416,2,22,7,13,40834,4,False,1996,16,27723,67
417,6,23,19,16,33746,4,False,1996,21,30106,89
418,7,21,4,12,52305,4,False,1996,18,36553,69
419,8,11,20,10,30602,4,False,1996,20,25565,83
420,16,12,3,1,54074,4,False,1996,31,40892,75
421,18,20,6,8,39812,4,False,1996,17,26957,67
422,9,3,17,15,15200,4,False,1996,4,15251,100
423,10,4,18,11,35345,4,False,1996,16,24525,69
424,4,16,12,2,39414,4,True,1996,31,40177,101
425,7,2,4,8,52305,4,False,1996,18,36320,69
426,20,11,7,11,25486,4,False,1996,16,7979,31
427,18,7,6,5,39812,4,False,1996,17,33798,84
428,23,16,18,3,22500,4,False,1996,14,21938,97
429,1,22,2,13,38419,4,False,1996,16,38044,99
430,14,12,14,1,31367,4,False,1996,12,30476,97
431,21,13,11,4,18300,4,False,1996,9,18071,98
432,4,19,12,9,39414,4,False,1996,31,36380,92
433,9,10,16,17,15200,4,False,1996,4,15244,100
434,3,2,15,7,23489,4,False,1996,28,19917,84
435,21,9,12,19,18300,4,False,1996,9,17839,97
436,4,22,14,11,39414,4,False,1996,31,30368,77
437,18,19,6,9,39812,4,False,1996,17,22667,56
438,10,6,16,18,35345,4,False,1996,16,23988,67
439,20,13,8,4,25486,4,False,1996,16,9015,35
440,11,14,10,13,37792,4,False,1996,22,27264,72
441,16,3,3,17,54074,4,False,1996,31,40079,74
442,2,1,6,2,40834,4,True,1996,16,28182,69
443,13,4,5,14,42749,4,False,1996,13,39339,92
444,12,21,1,12,75643,4,False,1996,26,55243,73
445,7,23,4,15,52305,4,False,1996,18,36582,69
446,8,9,19,20,30602,4,False,1996,20,25134,82
447,19,20,9,8,36284,4,True,1996,16,32654,89
448,6,8,17,18,33746,3,False,1996,21,29888,88
449,1,16,3,2,38419,3,False,1996,16,38068,99
450,20,7,8,4,25486,3,False,1996,16,23175,90
451,14,13,12,5,31367,3,False,1996,12,24274,77
452,3,10,19,15,23489,3,False,1996,28,22291,94
453,21,19,14,10,18300,3,False,1996,9,18083,98
454,4,12,13,1,39414,3,False,1996,31,40079,101
455,6,2,17,6,33746,3,False,1996,21,29811,88
456,18,11,7,9,39812,3,False,1996,17,30373,76
457,9,22,20,11,15200,3,False,1996,4,15044,98
458,23,8,16,18,22500,3,False,1996,14,22120,98
459,2,9,5,20,40834,3,False,1996,16,28079,68
460,22,19,11,10,22000,3,False,1996,6,20593,93
461,6,14,19,12,33746,3,False,1996,21,29891,88
462,20,10,8,16,25486,3,True,1996,16,15771,61
463,2,23,7,15,40834,3,False,1996,16,24027,58
464,13,10,6,17,42749,3,False,1996,13,35992,84
465,14,20,12,8,31367,3,False,1996,12,23333,74
466,4,21,13,14,39414,3,False,1996,31,32140,81
467,22,6,11,20,22000,3,False,1996,6,20561,93
468,12,18,1,5,75643,3,False,1996,26,55267,73
469,7,3,4,16,52305,3,False,1996,18,36571,69
470,8,16,18,2,30602,3,False,1996,20,29181,95
471,9,1,19,3,15200,3,False,1996,4,15144,99
472,19,11,10,9,36284,3,False,1996,16,33040,91
473,11,9,9,19,37792,3,False,1996,22,25913,68
474,18,23,5,15,39812,3,False,1996,17,20294,50
475,10,2,17,8,35345,3,True,1996,16,24502,69
476,14,8,12,18,31367,3,False,1996,12,20485,65
477,16,7,2,4,54074,3,False,1996,31,40751,75
478,1,8,2,17,38419,3,False,1996,16,38206,99
479,3,22,16,10,23489,3,False,1996,28,19220,81
480,11,4,9,12,37792,3,False,1996,22,32055,84
481,23,12,15,1,22500,3,False,1996,14,22225,98
482,9,4,18,12,15200,3,False,1996,4,15134,99
483,2,14,8,13,40834,3,False,1996,16,25784,63
484,22,13,9,5,22000,3,False,1996,6,20626,93
485,6,21,20,14,33746,3,False,1996,21,29739,88
486,8,18,17,6,30602,3,False,1996,20,21485,70
487,23,19,16,11,22500,3,False,1996,14,20785,92
488,3,20,15,7,23489,3,False,1996,28,15273,65
489,13,16,5,2,42749,3,False,1996,13,39339,92
490,14,23,13,16,31367,3,False,1996,12,24208,77
491,21,2,14,8,18300,3,False,1996,9,18039,98
492,4,1,12,3,39414,3,False,1996,31,36980,93
493,11,10,10,19,37792,3,False,1996,22,30575,80
494,12,3,1,15,75643,3,False,1996,26,55230,73
495,7,9,4,18,52305,3,False,1996,18,36446,69
496,18,6,6,20,39812,3,False,1996,17,28206,70
497,19,8,11,17,36284,3,False,1996,16,32805,90
498,20,22,7,9,25486,3,False,1996,16,11487,45
499,9,20,19,5,15200,2,False,1996,4,14418,94
500,10,19,17,11,35345,2,True,1996,16,23998,67
501,1,20,4,5,38419,2,True,1996,16,37854,98
502,2,12,7,1,40834,2,False,1996,16,28336,69
503,3,4,16,10,23489,2,False,1996,28,19497,83
504,22,21,12,13,22000,2,False,1996,6,20323,92
505,16,14,2,15,54074,2,False,1996,31,40747,75
506,6,7,20,3,33746,2,False,1996,21,30063,89
507,8,13,18,6,30602,2,False,1996,20,25239,82
508,9,18,19,8,15200,2,False,1996,4,15062,99
509,23,11,14,9,22500,2,False,1996,14,21890,97
510,13,3,5,16,42749,2,False,1996,13,30409,71
511,21,18,12,8,18300,2,False,1996,9,18060,98
512,16,11,2,11,54074,2,False,1996,31,38957,72
513,1,12,3,1,38419,2,False,1996,16,38172,99
514,21,10,13,18,18300,2,False,1996,9,18057,98
515,19,1,9,3,36284,2,True,1996,16,33039,91
