,team_1,team_2,team_1_rating,team_2_rating,capacity,month,derby,year,city,temprature,precipitation,attendance,occuper
101,11,15,12,20,37792,3,False,1995,22,5,27,30106,79
102,5,14,17,10,35150,3,False,1995,26,6,25,29078,82
103,6,4,13,7,33746,3,False,1995,21,6,18,29807,88
104,17,1,19,5,18439,3,True,1995,16,8,29,17970,97
105,18,8,14,9,39812,3,False,1995,17,5,29,21930,55
106,19,9,6,18,36284,3,False,1995,16,8,29,26320,72
107,20,2,15,8,25486,3,True,1995,16,8,29,17048,66
108,13,14,4,9,42749,2,False,1995,13,5,23,28008,65
109,15,12,20,2,22616,2,False,1995,25,5,28,21381,94
110,14,16,9,3,31367,2,False,1995,12,5,28,30895,98
111,3,6,17,13,23489,2,False,1995,28,5,19,18810,80
112,4,8,7,10,39414,2,False,1995,31,6,40,33163,84
113,5,7,18,1,35150,2,False,1995,26,5,28,31115,88
114,9,2,15,8,15200,2,False,1995,4,6,23,15226,100
115,19,18,5,14,36284,2,False,1995,16,6,47,32047,88
116,10,1,11,6,35345,2,True,1995,16,6,47,24217,68
117,20,13,16,4,25486,2,False,1995,16,6,47,12193,47
118,10,7,11,1,35345,2,False,1995,16,6,47,23843,67
119,12,4,2,8,75643,2,False,1995,26,5,28,42459,56
120,2,10,10,11,40834,2,True,1995,16,6,47,25252,61
121,6,15,13,20,33746,2,False,1995,21,5,21,29354,86
122,18,17,14,19,39812,2,False,1995,17,3,34,22442,56
123,19,10,5,13,36284,2,True,1995,16,6,47,29781,82
124,17,16,19,3,18439,2,False,1995,16,6,47,18405,99
125,15,13,20,4,22616,2,False,1995,25,5,28,18099,80
126,3,2,17,10,23489,2,False,1995,28,5,19,20639,87
127,4,5,8,18,39414,2,False,1995,31,6,40,37354,94
128,12,14,2,6,75643,2,False,1995,26,5,28,42681,56
129,6,7,12,1,33746,2,False,1995,21,5,21,30011,88
130,8,1,9,7,30602,2,False,1995,20,4,47,27222,88
131,18,20,14,16,39812,2,False,1995,17,3,34,19085,47
132,2,6,8,12,40834,2,False,1995,16,6,47,21060,51
133,1,3,9,18,38419,2,False,1995,16,6,47,35623,92
134,13,11,4,11,42749,2,False,1995,13,5,23,35982,84
135,14,15,6,20,31367,2,False,1995,12,5,28,30419,96
136,16,19,3,5,54074,2,False,1995,31,6,40,40628,75
137,5,17,17,19,35150,2,False,1995,26,5,28,27509,78
138,7,18,1,14,52305,2,False,1995,18,3,122,36567,69
139,9,4,15,10,15200,2,False,1995,4,6,23,15136,99
140,10,8,13,7,35345,2,False,1995,16,6,47,21257,60
141,20,12,16,2,25486,2,False,1995,16,6,47,25380,99
142,9,5,15,17,15200,1,False,1995,4,6,35,15172,99
143,13,16,6,2,42749,1,False,1995,13,4,34,39332,92
144,8,11,5,11,30602,1,False,1995,20,4,61,24465,79
145,10,3,14,18,35345,1,False,1995,16,6,52,18884,53
146,10,12,16,2,35345,1,False,1995,16,6,52,24197,68
147,13,19,5,4,42749,1,False,1995,13,4,34,35666,83
148,1,4,7,9,38419,1,False,1995,16,6,52,38275,99
149,14,18,6,13,31367,1,False,1995,12,5,32,24732,78
150,2,8,10,8,40834,1,False,1995,16,6,52,24482,59
151,16,11,3,11,54074,1,False,1995,31,5,58,40254,74
152,5,3,18,17,35150,1,False,1995,26,5,32,25710,73
153,7,15,1,20,52305,1,False,1995,18,3,190,36543,69
154,9,6,15,12,15200,1,False,1995,4,6,35,15151,99
155,20,17,14,19,25486,1,True,1995,16,6,52,9123,35
156,3,7,17,1,23489,1,False,1995,28,5,27,20547,87
157,15,20,20,15,22616,1,False,1995,25,5,32,16216,71
158,4,2,10,12,39414,1,False,1995,31,5,58,34968,88
159,11,10,9,14,37792,1,False,1995,22,4,39,30658,81
160,12,13,2,7,75643,1,False,1995,26,5,32,42667,56
161,6,1,11,5,33746,1,False,1995,21,4,29,29359,86
162,8,9,6,16,30602,1,False,1995,20,4,61,23321,76
163,17,14,19,8,18439,1,False,1995,16,6,52,13957,75
164,18,16,13,4,39812,1,False,1995,17,3,49,32747,82
165,19,5,3,18,36284,1,False,1995,16,6,52,31436,86
166,7,1,1,6,52305,1,False,1995,18,3,190,36530,69
167,17,2,19,12,18439,1,True,1995,16,6,52,14904,80
168,3,9,17,16,23489,1,False,1995,28,5,27,16818,71
169,11,14,11,10,37792,1,False,1995,22,4,39,31285,82
170,16,8,3,7,54074,1,False,1995,31,5,58,39206,72
171,5,10,18,14,35150,1,False,1995,26,5,32,26024,74
172,18,15,13,20,39812,1,False,1995,17,3,49,24872,62
173,20,4,15,9,25486,1,False,1995,16,6,52,11121,43
174,6,13,8,5,33746,1,False,1995,21,4,29,28535,84
175,19,12,4,2,36284,1,False,1995,16,6,52,32852,90
176,1,20,5,15,38419,12,True,1995,16,6,65,37640,97
177,14,19,9,4,31367,12,False,1995,12,6,45,30004,95
178,15,3,20,17,22616,12,False,1995,25,5,37,16678,73
179,2,16,12,3,40834,12,False,1995,16,6,65,31137,76
180,4,11,11,10,39414,12,False,1995,31,6,72,40009,101
181,12,17,2,18,75643,12,False,1995,26,5,37,41890,55
182,8,6,6,7,30602,12,False,1995,20,4,67,27027,88
183,12,7,2,1,75643,12,False,1995,26,5,37,42024,55
184,15,11,20,8,22616,12,False,1995,25,5,37,18414,81
185,1,17,5,17,38419,12,True,1995,16,6,65,38259,99
186,2,20,11,16,40834,12,True,1995,16,6,65,21906,53
187,9,19,15,3,15200,12,False,1995,4,6,31,15238,100
188,4,6,12,6,39414,12,False,1995,31,6,72,40019,101
189,8,18,9,14,30602,12,False,1995,20,4,67,27810,90
190,14,5,10,18,31367,12,False,1995,12,6,45,28915,92
191,11,12,9,2,37792,12,False,1995,22,4,43,39801,105
192,3,4,19,12,23489,12,False,1995,28,5,21,16639,70
193,16,1,3,7,54074,12,False,1995,31,6,72,39806,73
194,5,2,17,10,35150,12,False,1995,26,5,37,28668,81
195,6,10,5,13,33746,12,False,1995,21,5,28,28640,84
196,7,8,1,8,52305,12,False,1995,18,4,230,36531,69
197,17,13,16,6,18439,12,False,1995,16,6,65,14778,80
198,18,9,14,15,39812,12,False,1995,17,4,58,25115,63
199,19,15,4,20,36284,12,False,1995,16,6,65,30702,84
200,20,14,18,11,25486,12,False,1995,16,6,65,7105,27
201,5,8,16,8,35150,12,False,1995,26,5,37,25660,73
202,16,12,5,2,54074,12,False,1995,31,6,72,40546,74
203,1,2,6,10,38419,12,True,1995,16,6,65,38295,99
204,13,3,4,19,42749,12,False,1995,13,5,27,28486,66
205,14,6,11,7,31367,12,False,1995,12,6,45,27996,89
206,7,4,1,12,52305,12,False,1995,18,4,230,36557,69
207,17,15,17,20,18439,12,False,1995,16,6,65,11456,62
208,18,11,14,9,39812,12,False,1995,17,4,58,24573,61
209,10,9,13,15,35345,12,False,1995,16,6,65,18501,52
210,20,19,18,3,25486,12,True,1995,16,6,65,16193,63
211,4,10,11,13,39414,12,False,1995,31,6,72,31778,80
212,8,13,8,6,30602,12,False,1995,20,4,67,25790,84
213,15,16,20,7,22616,12,False,1995,25,5,37,21042,93
214,2,7,10,1,40834,12,False,1995,16,6,65,31098,76
215,3,14,19,12,23489,12,False,1995,28,5,21,13376,56
216,11,20,9,17,37792,12,False,1995,22,4,43,27984,74
217,12,18,2,14,75643,12,False,1995,26,5,37,41849,55
218,6,5,4,16,33746,12,False,1995,21,5,28,29469,87
219,9,1,15,3,15200,12,False,1995,4,6,31,15238,100
220,19,17,5,18,36284,12,True,1995,16,6,65,28851,79
221,18,3,14,20,39812,12,False,1995,17,4,58,16229,40
222,20,7,17,1,25486,12,False,1995,16,6,65,18002,70
223,13,1,4,3,42749,12,False,1995,13,5,27,37770,88
224,14,10,10,13,31367,12,False,1995,12,6,45,26638,84
225,15,8,19,7,22616,12,False,1995,25,5,37,17342,76
226,11,5,9,16,37792,12,False,1995,22,4,43,33249,87
227,16,9,8,15,54074,12,False,1995,31,6,72,38007,70
228,12,2,2,11,75643,12,False,1995,26,5,37,42019,55
229,17,6,18,6,18439,12,False,1995,16,6,65,17546,95
230,19,4,5,12,36284,12,False,1995,16,6,65,32894,90
231,8,12,7,2,30602,11,False,1995,20,7,70,29263,95
232,1,14,3,13,38419,11,False,1995,16,9,72,37695,98
233,2,19,11,5,40834,11,True,1995,16,9,72,31059,76
234,3,20,19,16,23489,11,False,1995,28,7,25,12523,53
235,4,18,12,15,39414,11,False,1995,31,8,67,35898,91
236,5,13,17,4,35150,11,False,1995,26,7,35,28027,79
237,6,16,6,8,33746,11,False,1995,21,7,29,29390,87
238,7,11,1,9,52305,11,False,1995,18,6,202,36572,69
239,9,15,14,20,15200,11,False,1995,4,8,28,14404,94
240,10,17,10,18,35345,11,True,1995,16,9,72,21504,60
241,2,15,10,19,40834,11,False,1995,16,9,72,17495,42
242,3,12,20,2,23489,11,False,1995,28,7,25,23400,99
243,4,17,11,16,39414,11,False,1995,31,8,67,30009,76
244,5,20,18,17,35150,11,False,1995,26,7,35,23617,67
245,10,16,13,6,35345,11,False,1995,16,9,72,24324,68
